,zipcodes,income,food,essentials,IEE
0,10024,2637,1061,1089,486
1,94016,4601,2038,526,2035
2,22031,4596,1601,2606,388
3,10024,10605,3011,4049,3543
4,60007,12360,2379,5204,4776
5,44101,11394,5550,256,5587
6,10024,9708,3533,3969,2204
7,10024,2820,877,569,1372
8,44101,11667,490,6081,5094
9,94016,7958,3876,3709,372
10,44101,2730,696,1042,990
11,60007,6050,3061,2137,851
12,60007,9817,3282,856,5678
13,60007,7629,3983,508,3137
14,94016,8938,4415,667,3854
15,44101,1885,592,734,557
16,44101,9459,5008,4175,274
17,10024,7188,453,3962,2771
18,10024,9714,5830,706,3176
19,22031,12500,4511,6281,1707
20,44101,9193,6504,2533,155
21,10024,9809,3445,3815,2547
22,94016,5654,1035,2714,1903
23,22031,9922,4242,3963,1715
24,22031,1841,935,176,728
25,94016,3477,273,2502,700
26,60007,1419,285,1006,126
27,60007,1975,695,718,560
28,44101,3696,1629,1226,839
29,22031,7195,4838,1748,608
30,44101,4163,1951,1924,286
31,44101,9779,1585,5094,3099
32,10024,10878,6076,4645,155
33,10024,9885,2683,3711,3489
34,44101,5350,2021,1378,1949
35,94016,10039,2693,5939,1405
36,94016,4027,1873,532,1620
37,10024,4833,1979,2483,370
38,44101,4331,827,2545,957
39,60007,3813,1468,2235,108
40,60007,2488,100,1033,1354
41,44101,8050,2332,2488,3228
42,60007,10832,1701,3370,5759
43,44101,7032,3137,1065,2829
44,44101,10006,687,739,8579
45,44101,2243,1230,11,1001
46,94016,9973,2633,3238,4101
47,44101,8340,1466,1217,5656
48,60007,12342,1428,4320,6592
49,94016,4743,3341,551,849
50,10024,2228,492,709,1025
51,10024,4827,2194,1741,890
52,22031,11089,5216,5802,70
53,44101,1259,115,520,623
54,60007,10679,6324,1324,3029
55,22031,4409,33,2618,1757
56,60007,1732,64,444,1223
57,94016,7291,3533,2476,1280
58,10024,1213,652,340,219
59,60007,10746,3828,3336,3581
60,22031,10452,2424,3121,4905
61,22031,2686,807,1434,444
62,10024,5133,844,2396,1891
